#Parameters = {phi=0; theta=0}
#"Frequency / GHz"	"SZmin(1),Zmax(1) [Magnitude]"
#------------------------------------------------
61.200000000000	-0.32914805318817
61.221600000000	-0.32798866328722
61.243200000000	-0.32683060175629
61.264800000000	-0.32567387348812
61.286400000000	-0.32451848337593
61.308000000000	-0.32336443631341
61.329600000000	-0.32221173719463
61.351200000000	-0.32106039091406
61.372800000000	-0.31991040236645
61.394400000000	-0.31876177644686
61.416000000000	-0.31761451805058
61.437600000000	-0.31646863207306
61.459200000000	-0.31532412340993
61.480800000000	-0.31418099695690
61.502400000000	-0.31303925760976
61.524000000000	-0.31189891026429
61.545600000000	-0.31075995981624
61.567200000000	-0.30962241116130
61.588800000000	-0.30848626919503
61.610400000000	-0.30735153881284
61.632000000000	-0.30621822490990
61.653600000000	-0.30508633238117
61.675200000000	-0.30395586612126
61.696800000000	-0.30282683102449
61.718400000000	-0.30169923198476
61.740000000000	-0.30057307389556
61.761600000000	-0.29944836164988
61.783200000000	-0.29832510014019
61.804800000000	-0.29720329425842
61.826400000000	-0.29608294889587
61.848000000000	-0.29496406894318
61.869600000000	-0.29384665929029
61.891200000000	-0.29273072482640
61.912800000000	-0.29161627043991
61.934400000000	-0.29050330101839
61.956000000000	-0.28939182144851
61.977600000000	-0.28828183661605
61.999200000000	-0.28717335140577
62.020800000000	-0.28606637070143
62.042400000000	-0.28496089938574
62.064000000000	-0.28385694234028
62.085600000000	-0.28275450444547
62.107200000000	-0.28165359058055
62.128800000000	-0.28055420562348
62.150400000000	-0.27945635445097
62.172000000000	-0.27836004193835
62.193600000000	-0.27726527295958
62.215200000000	-0.27617205238718
62.236800000000	-0.27508038509222
62.258400000000	-0.27399027594422
62.280000000000	-0.27290172981114
62.301600000000	-0.27181475155930
62.323200000000	-0.27072934605340
62.344800000000	-0.26964551815640
62.366400000000	-0.26856327272952
62.388000000000	-0.26748261463217
62.409600000000	-0.26640354872191
62.431200000000	-0.26532607985441
62.452800000000	-0.26425021288342
62.474400000000	-0.26317595266066
62.496000000000	-0.26210330403584
62.517600000000	-0.26103227185660
62.539200000000	-0.25996286096844
62.560800000000	-0.25889507621467
62.582400000000	-0.25782892243642
62.604000000000	-0.25676440447251
62.625600000000	-0.25570152715947
62.647200000000	-0.25464029533146
62.668800000000	-0.25358071382023
62.690400000000	-0.25252278745509
62.712000000000	-0.25146652106283
62.733600000000	-0.25041191946769
62.755200000000	-0.24935898749134
62.776800000000	-0.24830772995277
62.798400000000	-0.24725815166830
62.820000000000	-0.24621025745151
62.841600000000	-0.24516405211320
62.863200000000	-0.24411954046132
62.884800000000	-0.24307672730097
62.906400000000	-0.24203561743429
62.928000000000	-0.24099621566047
62.949600000000	-0.23995852677566
62.971200000000	-0.23892255557296
62.992800000000	-0.23788830684235
63.014400000000	-0.23685578537063
63.036000000000	-0.23582499594140
63.057600000000	-0.23479594333500
63.079200000000	-0.23376863232848
63.100800000000	-0.23274306769550
63.122400000000	-0.23171925420636
63.144000000000	-0.23069719662788
63.165600000000	-0.22967689972339
63.187200000000	-0.22865836825269
63.208800000000	-0.22764160697197
63.230400000000	-0.22662662063379
63.252000000000	-0.22561341398703
63.273600000000	-0.22460199177681
63.295200000000	-0.22359235874449
63.316800000000	-0.22258451962760
63.338400000000	-0.22157847915977
63.360000000000	-0.22057424207074
63.381600000000	-0.21957181308622
63.403200000000	-0.21857119692797
63.424800000000	-0.21757239831361
63.446400000000	-0.21657542195669
63.468000000000	-0.21558027256658
63.489600000000	-0.21458695484843
63.511200000000	-0.21359547350314
63.532800000000	-0.21260583322729
63.554400000000	-0.21161803871311
63.576000000000	-0.21063209464842
63.597600000000	-0.20964800571660
63.619200000000	-0.20866577659649
63.640800000000	-0.20768541196245
63.662400000000	-0.20670691648417
63.684000000000	-0.20573029482674
63.705600000000	-0.20475555165054
63.727200000000	-0.20378269161123
63.748800000000	-0.20281171935964
63.770400000000	-0.20184263954179
63.792000000000	-0.20087545679883
63.813600000000	-0.19991017576694
63.835200000000	-0.19894680107735
63.856800000000	-0.19798533735625
63.878400000000	-0.19702578922474
63.900000000000	-0.19606816129881
63.921600000000	-0.19511245818927
63.943200000000	-0.19415868450172
63.964800000000	-0.19320684483647
63.986400000000	-0.19225694378854
64.008000000000	-0.19130898594756
64.029600000000	-0.19036297589776
64.051200000000	-0.18941891821790
64.072800000000	-0.18847681748123
64.094400000000	-0.18753667825546
64.116000000000	-0.18659850510268
