#Parameters = {phi=0; theta=0}
#"Frequency / GHz"	"SZmax(1),Zmax(1) [Magnitude]"
#------------------------------------------------
61.200000000000	-11.438381695221
61.221600000000	-11.453352096010
61.243200000000	-11.468362149345
61.264800000000	-11.483411997546
61.286400000000	-11.498501783810
61.308000000000	-11.513631652220
61.329600000000	-11.528801747749
61.351200000000	-11.544012216268
61.372800000000	-11.559263204553
61.394400000000	-11.574554860293
61.416000000000	-11.589887332097
61.437600000000	-11.605260769503
61.459200000000	-11.620675322981
61.480800000000	-11.636131143945
61.502400000000	-11.651628384759
61.524000000000	-11.667167198743
61.545600000000	-11.682747740185
61.567200000000	-11.698370164345
61.588800000000	-11.714034627464
61.610400000000	-11.729741286772
61.632000000000	-11.745490300498
61.653600000000	-11.761281827875
61.675200000000	-11.777116029152
61.696800000000	-11.792993065596
61.718400000000	-11.808913099510
61.740000000000	-11.824876294232
61.761600000000	-11.840882814150
61.783200000000	-11.856932824708
61.804800000000	-11.873026492416
61.826400000000	-11.889163984857
61.848000000000	-11.905345470699
61.869600000000	-11.921571119701
61.891200000000	-11.937841102725
61.912800000000	-11.954155591741
61.934400000000	-11.970514759844
61.956000000000	-11.986918781254
61.977600000000	-12.003367831335
61.999200000000	-12.019862086595
62.020800000000	-12.036401724707
62.042400000000	-12.052986924507
62.064000000000	-12.069617866013
62.085600000000	-12.086294730432
62.107200000000	-12.103017700170
62.128800000000	-12.119786958841
62.150400000000	-12.136602691282
62.172000000000	-12.153465083559
62.193600000000	-12.170374322978
62.215200000000	-12.187330598100
62.236800000000	-12.204334098748
62.258400000000	-12.221385016019
62.280000000000	-12.238483542296
62.301600000000	-12.255629871256
62.323200000000	-12.272824197889
62.344800000000	-12.290066718501
62.366400000000	-12.307357630731
62.388000000000	-12.324697133561
62.409600000000	-12.342085427327
62.431200000000	-12.359522713734
62.452800000000	-12.377009195865
62.474400000000	-12.394545078198
62.496000000000	-12.412130566613
62.517600000000	-12.429765868405
62.539200000000	-12.447451192304
62.560800000000	-12.465186748479
62.582400000000	-12.482972748557
62.604000000000	-12.500809405632
62.625600000000	-12.518696934284
62.647200000000	-12.536635550587
62.668800000000	-12.554625472123
62.690400000000	-12.572666918003
62.712000000000	-12.590760108871
62.733600000000	-12.608905266926
62.755200000000	-12.627102615931
